Column 1	LC-ID	Column 2	Column 3	LC-ID1	Column 4	blank
NFAIS/UNESCO indexing in perspective education kit.			 | NFAIS/UNESCO indexing in perspective education kit.		http://example.org/1335775#Work740-29	
Indoor air and human health /		Gammage, Richard B.	Gammage, Richard B. | Indoor air and human health /		http://example.org/1398455#Work	
In memory of our dearly loved and loyal friend Alice Rueter, 17 July 1968-16 March 1985.		Baudelaire, Charles, 1821-1867.	Baudelaire, Charles, 1821-1867. | In memory of our dearly loved and loyal friend Alice Rueter, 17 July 1968-16 March 1985.		http://example.org/1352960#Work	
C'est l'esprit familier du lieu.			 | C'est l'esprit familier du lieu.		http://example.org/1352960#Work740-22	
In memory of Robert Hunter Middleton, 1898-1985.		Horace.	Horace. | In memory of Robert Hunter Middleton, 1898-1985.		http://example.org/1352966#Work	
Sit mihi quod nunc est, etiam minus, et mihi vivam.			 | Sit mihi quod nunc est, etiam minus, et mihi vivam.		http://example.org/1352966#Work740-25	
Innovations and developments : a selection of projects.		Wotke, Herbert.	Wotke, Herbert. | Innovations and developments : a selection of projects.		http://example.org/1300365#Work	
Österreich Dokumentationen	n86734552	Wotke, Herbert.	Wotke, Herbert. | Austria documentation.		http://example.org/1300365#Work830-24	
In search of the Trojan War /		Wood, Michael, 1948-	Wood, Michael, 1948- | In search of the Trojan War. | German	no2009104399	http://example.org/1347433#Work	
Institute on legal aspects of doing business in Canada and the United States /		Institute on Legal Aspects of Doing Business in Canada and the United States (1985 : Toronto, Ont.)	Institute on Legal Aspects of Doing Business in Canada and the United States (1985 : Toronto, Ont.) | Institute on legal aspects of doing business in Canada and the United States /		http://example.org/1001976#Work	
Institute on mine to market : the legal issues /		Bryden, William M.	Bryden, William M. | Institute on mine to market : the legal issues /		http://example.org/1321809#Work	
Mine to market.			 | Mine to market.		http://example.org/1321809#Work740-24	
The legal issues.			 | The legal issues.		http://example.org/1321809#Work740-25	
Institute on Oil and Gas Conservation Law and Practice /		Vanderwerf, Gretchen A.	Vanderwerf, Gretchen A. | Institute on Oil and Gas Conservation Law and Practice /		http://example.org/1325224#Work	
Organ music. Selections		Duruflé, Maurice, 1902-1986.	Duruflé, Maurice, 1902-1986. | Organ music. Selections		http://example.org/1378930#Work	
Integrated mountain development /		Singh, Tejvir, 1930-	Singh, Tejvir, 1930- | Integrated mountain development /		http://example.org/1298015#Work	
Intercom and audio systems for band buildings.			 | Intercom and audio systems for band buildings.		http://example.org/1380206#Work	
Band technical publications			 | Band technical publications		http://example.org/1380206#Work830-29	
Interpretation of historic sites /		Alderson, William T. (William Thomas), 1926-	Alderson, William T. (William Thomas), 1926- | Interpretation of historic sites /		http://example.org/1371310#Work	
Interrelating science, mathematics and technology education : a basis of general education for all.		Commonwealth Secretariat. Education Programme.	Commonwealth Secretariat. Education Programme. | Interrelating science, mathematics and technology education : a basis of general education for all.		http://example.org/1323356#Work	
Intervention programs to meet the needs of school-aged females : final report /		Harvey Social Research.	Harvey Social Research. | Intervention programs to meet the needs of school-aged females : final report /		http://example.org/1336017#Work	
Introduktion til Gustav Holm samlingen /		Meldgaard, Jørgen.	Meldgaard, Jørgen. | Introduktion til Gustav Holm samlingen /		http://example.org/1370155#Work	
I speak Pascal to my Apple /		Jones, Aubrey B.	Jones, Aubrey B. | I speak Pascal to my Apple /		http://example.org/1002313#Work	
Issues in school reform : a view from the bottom-up /		McNeil, John D.	McNeil, John D. | Issues in school reform : a view from the bottom-up /		http://example.org/1338360#Work	
Series in school curriculum	n84713885	McNeil, John D.	McNeil, John D. | Series in school curriculum.		http://example.org/1338360#Work830-26	
Issues in the ecological study of learning /		Johnston, Timothy D.	Johnston, Timothy D. | Issues in the ecological study of learning /		http://example.org/1404306#Work	
Resources for ecological psychology	n42029606	Johnston, Timothy D.	Johnston, Timothy D. | Resources for ecological psychology.		http://example.org/1404306#Work830-25	
I stay near you : 1 story in 3 /		Kerr, M. E.	Kerr, M. E. | I stay near you : 1 story in 3 /		http://example.org/1329126#Work	
Japanese labour law cases and materials 1985 /		Hanami, Tadashi.	Hanami, Tadashi. | Japanese labour law cases and materials 1985 /		http://example.org/1403381#Work	
Jean Dunand /		Delorenzo, Anthony.	Delorenzo, Anthony. | Jean Dunand /		http://example.org/1001385#Work	
Job redesign : critical perspectives on the labour process /		Knights, David.	Knights, David. | Job redesign : critical perspectives on the labour process /		http://example.org/1369304#Work	
Jordsalme		Anker, Pernille.	Anker, Pernille. | Jordsalme		http://example.org/1331611#Work	
Earth hymn.			 | Earth hymn.		http://example.org/1331611#Work740-33	
Journal of feminist studies in religion.			 | Journal of feminist studies in religion.		http://example.org/1297607#Work	
Journey to the volcano /		Tremain, Rose.	Tremain, Rose. | Journey to the volcano /		http://example.org/1001721#Work	
Jugend in Wien : eine Autobiographie /		Schnitzler, Arthur, 1862-1931.	Schnitzler, Arthur, 1862-1931. | Jugend in Wien : eine Autobiographie /		http://example.org/1350286#Work	
Juvenile prevention and diversion programs in Canada /		Kopelman, F.	Kopelman, F. | Juvenile prevention and diversion programs in Canada /		http://example.org/1316731#Work	
User report	n95023759	Kopelman, F.	Kopelman, F. | User report ;		http://example.org/1316731#Work830-27	
Kernels of energy, bones of earth : the rock in Chinese art /		Hay, John, 1939-	Hay, John, 1939- | Kernels of energy, bones of earth : the rock in Chinese art /		http://example.org/1403181#Work	
Keywords : a vocabulary of culture and society /		Williams, Raymond.	Williams, Raymond. | Keywords : a vocabulary of culture and society /		http://example.org/1306144#Work	
Chinese research perspectives. Society			 | Chinese research perspectives. Society		http://example.org/1306144#Work630-25	
Kjeldevatn		Bratland, Sondre.	Bratland, Sondre. | Kjeldevatn		http://example.org/1296492#Work	
Koori, a will to win : the heroic resistance, survival &amp; triumph of Black Australia /		Miller, James, 1949-	Miller, James, 1949- | Koori, a will to win : the heroic resistance, survival &amp; triumph of Black Australia /		http://example.org/1002124#Work	
Korea's colorful heritage /		Covell, Jon Etta Hastings Carter, 1910-1996.	Covell, Jon Etta Hastings Carter, 1910-1996. | Korea's colorful heritage /		http://example.org/1385623#Work	
Kumari Sangeeta the young envoy.		Sangeeta, 1965-	Sangeeta, 1965- | Kumari Sangeeta the young envoy.		http://example.org/1383498#Work	
Young envoy.			 | Young envoy.		http://example.org/1383498#Work740-32	
Rhythm House classic	no96047583	Sangeeta, 1965-	Sangeeta, 1965- | Rhythm House classic.		http://example.org/1383498#Work830-33	
Lab manual : introduction to wordstar and lotus 1-2-3 on the IBM PC /		O'Leary, T. J.	O'Leary, T. J. | Lab manual : introduction to wordstar and lotus 1-2-3 on the IBM PC /		http://example.org/1333873#Work	
WordStar professional (Computer file)	n86025120		 | WordStar (Computer file)		http://example.org/1333873#Work630-18	
Lotus 1-2-3 (Computer file)	n86111216		 | Lotus 1-2-3 (Computer file)		http://example.org/1333873#Work630-19	
Laboratory safety, a practice for life : teacher's guide /		Agban, Jim.	Agban, Jim. | Laboratory safety, a practice for life : teacher's guide /		http://example.org/1374460#Work	
Labor migration in the Atlantic economies : the European and North American working classes during the period of industrialization /		Hoerder, Dirk.	Hoerder, Dirk. | Labor migration in the Atlantic economies : the European and North American working classes during the period of industrialization /		http://example.org/1385290#Work	
Contributions in labor studies	n84738493	Hoerder, Dirk.	Hoerder, Dirk. | Contributions in labor history ;		http://example.org/1385290#Work830-28	
La ceramica a vernice nera nei contesti tomballi della Lombardia /		Frontini, Patrizia.	Frontini, Patrizia. | La ceramica a vernice nera nei contesti tomballi della Lombardia /		http://example.org/1375794#Work	
Archeologia dell'Italia settentrionale	n95035405	Frontini, Patrizia.	Frontini, Patrizia. | Archeologia dell'Italia settentrionale ;		http://example.org/1375794#Work830-26	
La Charte des Nations Unies : commentaire, article par article /		Cot, Jean Pierre, 1937-	Cot, Jean Pierre, 1937- | La Charte des Nations Unies : commentaire, article par article /		http://example.org/1359668#Work	
Charter.		United Nations.	United Nations. | Charter. | Indonesian	n2016220803	http://example.org/1359668#Work610-21	
Charter. French. 1985.		United Nations.	United Nations. | Charter. French. 1985.		http://example.org/1359668#Work710-25	
O.N.U., la Charte.			 | O.N.U., la Charte.		http://example.org/1359668#Work740-26	
La démocratie sans les femmes : essai sur le libéralisme en France /		Fauré, Christine.	Fauré, Christine. | La démocratie sans les femmes : essai sur le libéralisme en France /		http://example.org/1363463#Work	
Politique d'aujourd'hui	n42019246	Fauré, Christine.	Fauré, Christine. | Politique d'aujourd'hui.		http://example.org/1363463#Work830-27	
L'alliance brisée : le western des années 1920 /		Leutrat, Jean-Louis, 1941-	Leutrat, Jean-Louis, 1941- | L'alliance brisée : le western des années 1920 /		http://example.org/1375195#Work	
Collection Lumière.		Leutrat, Jean-Louis, 1941-	Leutrat, Jean-Louis, 1941- | Collection Lumière.		http://example.org/1375195#Work830-23	
Lancaster Sound winter ice regime study.		Canarctic Shipping Company.	Canarctic Shipping Company. | Lancaster Sound winter ice regime study.		http://example.org/1387004#Work	
Land and sea emergencies /		Canada. Dept. of National Defence.	Canada. Dept. of National Defence. | Land and sea emergencies /		http://example.org/1375411#Work	
Situations d'urgence sur terre et en mer.			 | Situations d'urgence sur terre et en mer.		http://example.org/1375411#Work740-32	
Landscapes of poverty /		Seabrook, Jeremy, 1939-	Seabrook, Jeremy, 1939- | Landscapes of poverty /		http://example.org/1001415#Work	
Langue, film, discours : prolégomènes à une sémiologie générative du film /		Colin, Michel.	Colin, Michel. | Langue, film, discours : prolégomènes à une sémiologie générative du film /		http://example.org/1376431#Work	
Collection d'esthétique. ;		Colin, Michel.	Colin, Michel. | Collection d'esthétique. ;		http://example.org/1376431#Work830-24	
La parola riscritta : Guillaume Gueroult, poeta e traduttore nella Francia della Riforma /		Boccassini, Daniela.	Boccassini, Daniela. | La parola riscritta : Guillaume Gueroult, poeta e traduttore nella Francia della Riforma /		http://example.org/1334425#Work	
Pubblicazioni della Facoltà di lettere e filosofia dell'Università di Milano. Sezione a cura dell'Istituto di glottologia	n42030661	Boccassini, Daniela.	Boccassini, Daniela. | Pubblicazioni della Facoltà di lettere e filosofia dell'Università di Milano ;		http://example.org/1334425#Work830-31	
Pubblicazioni della Facoltà di lettere e filosofia dell'Università di Milano. Sezione a cura dell'Istituto di lingue e letterature neolatine	n84719990	Boccassini, Daniela.	Boccassini, Daniela. | Pubblicazioni della Facoltà di lettere e filosofia dell'Università di Milano. Sezione a cura dell'Istituto di lingue e letterature neolatine ;		http://example.org/1334425#Work830-32	
Laser processing of materials : proceedings of a symposium /		Mukherjee, K.	Mukherjee, K. | Laser processing of materials : proceedings of a symposium /		http://example.org/1336460#Work	
La subversion du discours rituel /		Gomez-Moriana, Antonio.	Gomez-Moriana, Antonio. | La subversion du discours rituel /		http://example.org/1333926#Work	
Collection L'univers des discours	n86744427	Gomez-Moriana, Antonio.	Gomez-Moriana, Antonio. | Collection L'univers des discours.		http://example.org/1333926#Work830-25	
Law reports of England, Ireland and Scotland in York University Law Library.		York University (Toronto, Ont.). Law Library.	York University (Toronto, Ont.). Law Library. | Law reports of England, Ireland and Scotland in York University Law Library.		http://example.org/1395325#Work	
Le cinéma et les cinéastes /		Delluc, Louis, 1890-1924.	Delluc, Louis, 1890-1924. | Le cinéma et les cinéastes /		http://example.org/1386434#Work	
Ecrits cinématographiques ;		Delluc, Louis, 1890-1924.	Delluc, Louis, 1890-1924. | Ecrits cinématographiques ;		http://example.org/1386434#Work800-24	
Le créole de Breaux Bridge, Louisiane : étude morphosyntaxique, textes, vocabulaire /		Neumann-Holzschuh, Ingrid.	Neumann-Holzschuh, Ingrid. | Le créole de Breaux Bridge, Louisiane : étude morphosyntaxique, textes, vocabulaire /		http://example.org/1356833#Work	
Kreolische Bibliothek	n42000037	Neumann-Holzschuh, Ingrid.	Neumann-Holzschuh, Ingrid. | Kreolische Bibliothek.		http://example.org/1356833#Work830-24	
Le langage cinématographique /		Martin, Marcel.	Martin, Marcel. | Le langage cinématographique /		http://example.org/1375839#Work	
