Column 1	VIAF-ID-Per	VIAF-ID-names	org	Column 3	Column 4	VIAF-ID-Cor	Column 5
Rössing, Karl, 1897-1987	32789085	32789085	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Thiem,%20Gunther.	http://example.org/1371328#Agent700-20		
Baselitz, Georg, 1938-....	100903160	268245766	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Institut%20für%20Auslandsbeziehungen.	http://example.org/1371328#Agent710-21	268245766	
Ashley, Gail Mowry.	56677313	56677313	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Ashley,%20Gail%20Mowry.	http://example.org/1298265#Agent700-21		
Tubb, E. C.	55041395	55041395	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Shaw,%20John,%20M.D.	http://example.org/1298265#Agent700-22		
Smith, Norman Kemp, 1872-1958	51772529	51772529	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Smith,%20Norman%20Kemp,%201872-1958.	http://example.org/1298265#Agent700-23		
Davis, Richard A., Jr., 1937-	104276726	136621217	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Society%20of%20Economic%20Paleontologists%20and%20Mineralogists.	http://example.org/1298265#Agent710-24	136621217	
Kyle, Hedi	28446813	28446813	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Kyle,%20Hedi.	http://example.org/1339679#Agent100-10		
Tisdell, C. A. (Clement Allan)	61618060	61618060	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Macdonald,%20John,%201945-	http://example.org/1339768#Agent100-11		
Minnick, William H.	167045729	167045729	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Minnick,%20William%20H.	http://example.org/1298603#Agent100-12		
Boudinot, André	26640667	26640667	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Boudinot,%20André.	http://example.org/1392757#Agent700-25		
Wheble, B. S. (Bernard S.)	125181030	125181030	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Wheble,%20B.%20S.%20(Bernard%20S.)	http://example.org/1392757#Agent700-26		
Vlavianos-Arvanitis, Agni.	71442032	156618975	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22International%20Chamber%20of%20Commerce.	http://example.org/1392757#Agent710-27	156618975	
Ha, Tae-hŭng	7403561	7403561	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Ha,%20Tae%20Hung.	http://example.org/1385543#Agent100-12		
Grass, Günter, 1927-	102319859	102319859	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Grass,%20Günter,%201927-http://www.loc.gov/mads/rdf/v1#ComplexSubject	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Grass,%20Günter,%201927-	158076438	http://example.org/1002120#Agent600-21
Grass, Günter, 1927-	102319859	102319859	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Grass,%20Günter,%201927-	http://example.org/1002120#Agent700-22	158076438	
