Column 1	VIAF-ID	score	Column 2	Column 3	Column 4	LCID
Miranda, Félix A	311116525	0.9411764705882353	Person		http://example.org/6677817#Agent700-28	http://id.loc.gov/authorities/names/no2014132529
Santos Jr., Euzeli Cipriano dos	311459533	1	Person		http://example.org/6789399#Agent100-20	
Silva, Edison Roberto Cabral da, 1942-	311459537	0.9487179487179487	Person		http://example.org/6789399#Agent700-33	http://id.loc.gov/authorities/names/n2014065529
Armstrong, Donald, 1931-	84877109	0.8571428571428571	Person		http://example.org/6735481#Agent700-44	http://id.loc.gov/authorities/names/n83162465
Maguire, Miles	6157703	1	Person		http://example.org/6669748#Agent100-18	http://id.loc.gov/authorities/names/n2014019745
Maguire, Miles	6157703	1	Person		http://example.org/6804843#Agent100-19	http://id.loc.gov/authorities/names/n2014019745
Wickham, Hadley	251620867	1	Person		http://example.org/6712194#Agent100-14	http://id.loc.gov/authorities/names/nb2009023756
Wickham, Hadley	251620867	1	Person		http://example.org/6798679#Agent100-18	http://id.loc.gov/authorities/names/nb2009023756
Dragan, Ecaterina Stela	163701797	0.9166666666666666	Person		http://example.org/6712214#Agent700-29	http://id.loc.gov/authorities/names/n2006009925
Rossetti, Rosaldo J.F	314904874	0.9545454545454546	Person		http://example.org/6809382#Agent100-18	http://id.loc.gov/authorities/names/no2015021829
Liu, Ronghui	309584871	1	Person		http://example.org/6809382#Agent700-34	http://id.loc.gov/authorities/names/no2015021985
International Conference on Advanced Ceramics and Composites (38th : 2014 : Daytona Beach, Florida)			Meeting		http://example.org/6807470#Agent111-28	http://id.loc.gov/authorities/names/nb2015005413
Narayan, Roger	705145857947323021316	1	Person		http://example.org/6807470#Agent700-45	http://id.loc.gov/authorities/names/nb2009004147
Colombo, Paolo, 1960-	85216449	0.84	Person		http://example.org/6807470#Agent700-46	http://id.loc.gov/authorities/names/no2005082640
Gyekenyesi, Andrew	5036148632943230630006	1	Person		http://example.org/6807470#Agent700-47	http://id.loc.gov/authorities/names/no2002092646
Halbig, Michael			Person		http://example.org/6807470#Agent700-48	
American Ceramic Society			Organization		http://example.org/6807470#Agent710-49	http://id.loc.gov/authorities/names/n83030668
Hawkins, Jan F	305199256	0.9333333333333333	Person		http://example.org/6797160#Agent700-31	http://id.loc.gov/authorities/names/n2013185746
