olac - dc:contributor	olac - dc:identifier
Hafner, Carole	LDC93S9
Klavans, Judy	LDC93S9
Marcus, Mitch	LDC93S9
Mercer, Bob	LDC93S9
Pedersen, Jan	LDC93S9
Roossin, Paul	LDC93S9
Walker, Don	LDC93S9
Warwick, Susan	LDC93S9
Zampolli, Antonio	LDC93S9
Harman, Donna	LDC93T3A
Liberman, Mark	LDC93T3A
Harman, Donna	LDC93T3B
Liberman, Mark	LDC93T3B
Harman, Donna	LDC93T3C
Liberman, Mark	LDC93T3C
Harman, Donna	LDC93T3D
Liberman, Mark	LDC93T3D
Godfrey, John J.	LDC94S14A
Godfrey, John J.	LDC94S14B
Godfrey, John J.	LDC94S14C
Martin, Alvin	LDC94S15
Godfrey, Jack	LDC94S15
Holliman, Ed	LDC94S15
Przybocki, Mark	LDC94S15
Campbell, Joseph	LDC94S16
Higgins, Alan	LDC94S16
Cole, Ronald Allan	LDC94S17
Muthusamy, Yeshwant	LDC94S17
Cole, Ronald Allan	LDC94S18
Muthusamy, Yeshwant	LDC94S18
Dahl, Deborah A.	LDC94S19
Bates, Madeleine	LDC94S19
Brown, Michael	LDC94S19
Fisher, William	LDC94S19
Hunicke-Smith, Kate	LDC94S19
Pallett, David	LDC94S19
Pao, Christine	LDC94S19
Rudnicky, Alexander	LDC94S19
Shriberg, Elizabeth	LDC94S19
Garofolo, John S.	LDC94S19
Fiscus, Jonathan G.	LDC94S19
Danielson, Denise	LDC94S19
Bocchieri, Enrico	LDC94S19
Buntschuh, Bruce	LDC94S19
Schwartz, Beverly	LDC94S19
Peters, Sandra	LDC94S19
Ingria, Robert	LDC94S19
Weide, Robert	LDC94S19
Chang, Yuzong	LDC94S19
Thayer, Eric	LDC94S19
Hirschman, Lynette	LDC94S19
Polifroni, Joe	LDC94S19
Lund, Bruce	LDC94S19
Kawai, Goh	LDC94S19
Kuhn, Tom	LDC94S19
Norton, Lew	LDC94S19
British Home Office	LDC94S20
Bernstein, Jared	LDC94S21
Taussig, Kelsey	LDC94S21
Godfrey, Jack	LDC94S21
Graff, David	LDC94T4A
Graff, David	LDC94T4B-1
Graff, David	LDC94T4B-2
Graff, David	LDC94T4B-3
